article_id,media,title,description,url,date,year
774,detik,Respons Pengusaha Kala Purbaya Tolak Tax Amnesty,Menteri Keuangan Purbaya Yudhi Sadewa menolak program pengampunan pajak atau tax amnesty jilid III karena berpotensi merusak kredibilitas penegakan pajak.,https://finance.detik.com/berita-ekonomi-bisnis/d-8123402/respons-pengusaha-kala-purbaya-tolak-tax-amnesty,"Senin, 22 Sep 2025 05:55 WIB",2025
775,detik,"Prabowo Punya Mimpi APBN Tidak Tekor, Purbaya: Kita Lihat Keadaan",Menteri Keuangan Purbaya menanggapi harapan Prabowo untuk APBN tanpa defisit pada 2027-2028.,https://finance.detik.com/berita-ekonomi-bisnis/d-8126141/prabowo-punya-mimpi-apbn-tidak-tekor-purbaya-kita-lihat-keadaan,"Selasa, 23 Sep 2025 14:26 WIB",2025
776,detik,"Soal Tarif Cukai Rokok 2026, Purbaya: Kita Ketemu Industri Dulu",Menteri Keuangan Purbaya Yudhi Sadewa belum memutuskan tarif cukai hasil tembakau 2026. Dia akan berdiskusi dengan industri rokok sebelum mengambil keputusan.,https://finance.detik.com/industri/d-8126025/soal-tarif-cukai-rokok-2026-purbaya-kita-ketemu-industri-dulu,"Selasa, 23 Sep 2025 13:41 WIB",2025
777,detik,"Anggito jadi Ketua LPS, Purbaya: Otomatis Mundur dari Wamenkeu","Menteri Keuangan Purbaya Yudhi Sadewa mengonfirmasi Anggito Abimanyu sebagai Ketua Dewan Komisioner LPS 2025-2030, melepas jabatan Wamenkeu.",https://finance.detik.com/berita-ekonomi-bisnis/d-8125873/anggito-jadi-ketua-lps-purbaya-otomatis-mundur-dari-wamenkeu,"Selasa, 23 Sep 2025 12:32 WIB",2025
778,detik,Saat Ketua Banggar DPR Ungkit Gaya Koboi Menkeu Purbaya,Ketua Banggar DPR Said Abdullah mengungkit gaya koboi Menteri Keuangan Purbaya Yudhi Sadewa dalam rapat paripurna DPR RI pagi ini.,https://news.detik.com/berita/d-8125792/saat-ketua-banggar-dpr-ungkit-gaya-koboi-menkeu-purbaya,"Selasa, 23 Sep 2025 11:47 WIB",2025
779,detik,"Purbaya Mau Alihkan Anggaran 'Nganggur' MBG, Kepala BGN Bilang Begini",Dadan Hindayana merespons soal pernyataan Purbaya Yudhi Sadewa yang akan mengalihkan anggaran Makan Bergizi Gratis (MBG) 2025 jika tidak terserap sepenuhnya.,https://news.detik.com/berita/d-8125678/purbaya-mau-alihkan-anggaran-nganggur-mbg-kepala-bgn-bilang-begini,"Selasa, 23 Sep 2025 10:36 WIB",2025
780,detik,Video Purbaya Cerita Diprotes Hotman Paris Gegara Bunga Deposito Turun,Menteri Keuangan Purbaya Yudhi Sadewa menceritakan dirinya kena protes pengacara kondang Hotman Paris lantaran bunga deposito turun.,https://20.detik.com/detikupdate/20250923-250923002/video-purbaya-cerita-diprotes-hotman-paris-gegara-bunga-deposito-turun,"Selasa, 23 Sep 2025 02:32 WIB",2025
781,detik,"Purbaya Tolak Tax Amnesty, Pengusaha Buka Suara",Pengusaha menanggapi pernyataan Menteri Keuangan Purbaya Yudhi Sadewa yang menolak rencana program pengampunan pajak atau tax amnesty jilid III.,https://finance.detik.com/berita-ekonomi-bisnis/d-8122791/purbaya-tolak-tax-amnesty-pengusaha-buka-suara,"Minggu, 21 Sep 2025 15:30 WIB",2025
782,detik,"Menkeu Purbaya Rapat Perdana di DPR: Pidato Disiapkan, Tak Ada Sesi Bebas","Menkeu Purbaya Yudhi Sadewa rapat kerja perdana dengan Komisi XI DPR, menekankan kehati-hatian dalam berbicara dan rencana anggaran 2026.",https://news.detik.com/berita/d-8104776/menkeu-purbaya-rapat-perdana-di-dpr-pidato-disiapkan-tak-ada-sesi-bebas,"Rabu, 10 Sep 2025 11:24 WIB",2025
783,detik,Purbaya Minta Maaf Sebut Tuntutan 17+8 Suara Sebagian Kecil Rakyat,Tuntutan 17+8 yang disuarakan masyarakat sempat ditanggapi enteng oleh Menteri Keuangan Purbaya Yudhi Sadewa.,https://finance.detik.com/berita-ekonomi-bisnis/d-8103719/purbaya-minta-maaf-sebut-tuntutan-17-8-suara-sebagian-kecil-rakyat,"Selasa, 09 Sep 2025 16:52 WIB",2025
784,detik,Video Menkeu Purbaya Rapat Perdana di DPR: Sekarang Nggak Boleh Koboi,Purbaya mengaku harus menjaga tutur katanya setelah menjadi Menteri Keuangan.,https://20.detik.com/detikupdate/20250910-250910048/video-menkeu-purbaya-rapat-perdana-di-dpr-sekarang-nggak-boleh-koboi,"Rabu, 10 Sep 2025 13:57 WIB",2025
785,detik,Menkeu Purbaya Minta Maaf Sebut Tuntutan 17+8 Suara Sebagian Kecil Rakyat,Menkeu Purbaya Yudhi Sadewa yang baru dilantik viral menyebut tuntutan 17+8 merupakan suara sebagian kecil rakyat. Kini ia memberi penjelasan soal ucapannya.,https://www.detik.com/kalimantan/berita/d-8104128/menkeu-purbaya-minta-maaf-sebut-tuntutan-17-8-suara-sebagian-kecil-rakyat,"Selasa, 09 Sep 2025 21:30 WIB",2025
786,detik,Menkeu Purbaya Minta Maaf Bilang Tuntutan 17+8 'Suara Sebagian Kecil Rakyat',Menteri Keuangan (Menkeu) Purbaya Yudhi Sadewa yang baru dilantik viral setelah menyebutkan tuntutan 17+8 merupakan suara sebagian kecil rakyat.,https://news.detik.com/berita/d-8103734/menkeu-purbaya-minta-maaf-bilang-tuntutan-17-8-suara-sebagian-kecil-rakyat,"Selasa, 09 Sep 2025 17:01 WIB",2025
787,detik,Canda Anggota DPR ke Purbaya: 2 Hari Jabat Menkeu Jadi Orang Paling Viral,"""Ini pertama-tama selamat Pak, dua hari jadi menteri, sekaligus dua hari Bapak jadi orang yang paling viral seluruh Indonesia he-he-he...,"" kata Harris Turino.",https://news.detik.com/berita/d-8104976/canda-anggota-dpr-ke-purbaya-2-hari-jabat-menkeu-jadi-orang-paling-viral,"Rabu, 10 Sep 2025 12:43 WIB",2025
788,detik,3 Hal yang Bikin Purbaya Percaya Diri Jadi Menkeu Gantikan Sri Mulyani,"Prabowo mengganti Sri Mulyani Indrawati dari jabatan Menteri Keuangan, dan menunjuk Purbaya Yudhi Sadewa sebagai penggantinya.",https://finance.detik.com/berita-ekonomi-bisnis/d-8102466/3-hal-yang-bikin-purbaya-percaya-diri-jadi-menkeu-gantikan-sri-mulyani,"Selasa, 09 Sep 2025 06:27 WIB",2025
789,detik,"Video: Menkeu Purbaya Usul Anggaran Kemenkeu Rp 52,016 T di 2026","menkeu Purbaya Yudhi Sadewa menghadiri rapat kerja perdana dengan Komisi XI DPR RI. Purbaya mengusulkan anggaran Kemenkeu di tahun 2026 sebesar Rp 52,016 T.",https://20.detik.com/detikupdate/20250910-250910055/video-menkeu-purbaya-usul-anggaran-kemenkeu-rp-52016-t-di-2026,"Rabu, 10 Sep 2025 14:34 WIB",2025
790,detik,"Purbaya Cerita Targetkan Ekonomi Tumbuh 6%, tapi Istri Bilang 'Kamu Sombong'",Menteri Keuangan Purbaya Yudhi Sadewa bercerita dirinya dianggap sok tahu hingga sok pintar lantaran menargetkan pertumbuhan ekonomi Indonesia 6%.,https://finance.detik.com/berita-ekonomi-bisnis/d-8105955/purbaya-cerita-targetkan-ekonomi-tumbuh-6-tapi-istri-bilang-kamu-sombong,"Rabu, 10 Sep 2025 19:47 WIB",2025
791,detik,Tokoh Muda NU Jatim Yakin Menkeu Purbaya Bisa Jawab Keraguan Publik,KH Ubaidillah Amin (Gus Ubaid) percaya Menkeu Purbaya Yudhi Sadewa mampu menjawab keraguan publik. Ia menilai Purbaya sosok mumpuni dengan rekam jejak sukses.,https://www.detik.com/jatim/berita/d-8105298/tokoh-muda-nu-jatim-yakin-menkeu-purbaya-bisa-jawab-keraguan-publik,"Rabu, 10 Sep 2025 17:00 WIB",2025
792,detik,"Usai Rapat di DPR, Purbaya Merapat ke Istana Beri Laporan ke Prabowo","Menteri Keuangan Purbaya Yudhi Sadewa sore ini merapat ke Istana Kepresidenan, Jakarta Pusat.",https://finance.detik.com/berita-ekonomi-bisnis/d-8105705/usai-rapat-di-dpr-purbaya-merapat-ke-istana-beri-laporan-ke-prabowo,"Rabu, 10 Sep 2025 17:38 WIB",2025
793,detik,Purbaya soal Prabowo Tunjuk Dirinya Gantikan Sri Mulyani: Mungkin Saya Cukup Jago,Menteri Keuangan Purbaya Yudhi Sadewa menjelaskan alasan pelantikannya oleh Presiden Prabowo. Ia dianggap paham kondisi ekonomi dan menggantikan Sri Mulyani.,https://finance.detik.com/berita-ekonomi-bisnis/d-8102077/purbaya-soal-prabowo-tunjuk-dirinya-gantikan-sri-mulyani-mungkin-saya-cukup-jago,"Senin, 08 Sep 2025 18:28 WIB",2025
794,detik,Menkeu Purbaya Cerita Dicap Sok Pintar Saat Targetkan Ekonomi RI Tumbuh 6%,Menteri Keuangan Purbaya Yudhi Sadewa menargetkan pertumbuhan ekonomi Indonesia di angka 6%. Dia mengaku dicap sok pintar lantaran target tersebut.,https://news.detik.com/berita/d-8105875/menkeu-purbaya-cerita-dicap-sok-pintar-saat-targetkan-ekonomi-ri-tumbuh-6,"Rabu, 10 Sep 2025 18:51 WIB",2025
795,detik,"Dapat Tugas Berat Kejar Pertumbuhan Ekonomi 8%, Purbaya: Saya Deg-degan",Menteri Keuangan Purbaya Yudhi Sadewa mendapatkan tugas berat dari Presiden Prabowo Subianto. Purbaya diminta menggenjot pertumbuhan ekonomi hingga 8%.,https://finance.detik.com/berita-ekonomi-bisnis/d-8102034/dapat-tugas-berat-kejar-pertumbuhan-ekonomi-8-purbaya-saya-deg-degan,"Senin, 08 Sep 2025 18:11 WIB",2025
