media,title,description,url,date,year
detik,Menkeu Purbaya 'Spill' Stimulus Ekonomi Baru di Akhir Tahun,Menkeu Purbaya Yudhi Sadewa memberikan bocoran soal rencana stimulus ekonomi baru menjelang akhir tahun. Ini katanya.,https://www.detik.com/sumut/berita/d-8151880/menkeu-purbaya-spill-stimulus-ekonomi-baru-di-akhir-tahun,"Kamis, 09 Okt 2025 09:00 WIB",2025
detik,Bos Bursa Kena Semprot Purbaya,"Bursa Efek Indonesia meminta insentif ke Kemenkeu, namun ditunda hingga perilaku investor diperbaiki.",https://finance.detik.com/bursa-dan-valas/d-8153492/bos-bursa-kena-semprot-purbaya,"Jumat, 10 Okt 2025 05:55 WIB",2025
detik,Bos Baru LPS Anggito Abimanyu di Mata Menkeu Purbaya,Menteri Keuangan Anggito Abimanyu menilai Anggito Abimanyu mampu menjalankan tugasnya sebagai Ketua LPS.,https://finance.detik.com/moneter/d-8151777/bos-baru-lps-anggito-abimanyu-di-mata-menkeu-purbaya,"Rabu, 08 Okt 2025 21:18 WIB",2025
detik,Purbaya Kasih Bocoran Stimulus Baru Jelang Akhir Tahun,Menteri Keuangan Purbaya Yudhi Sadewa memberikan bocoran soal stimulus ekonomi baru jelang akhir tahun.,https://finance.detik.com/berita-ekonomi-bisnis/d-8151817/purbaya-kasih-bocoran-stimulus-baru-jelang-akhir-tahun,"Rabu, 08 Okt 2025 21:53 WIB",2025
detik,Purbaya Wanti-wanti Bank BUMN Penerima Rp 200 T: Beli Dolar AS Saya Sikat!,"Menteri Keuangan Purbaya Yudhi Sadewa mewanti-wanti Bank BUMN yang mendapatkan kucuran dana total Rp 200 triliun, tidak menggunakannya untuk membeli dolar AS.",https://finance.detik.com/moneter/d-8153655/purbaya-wanti-wanti-bank-bumn-penerima-rp-200-t-beli-dolar-as-saya-sikat,"Kamis, 09 Okt 2025 21:40 WIB",2025
detik,Menkeu Purbaya Jadi Harapan Baru Eks Karyawan PT Kertas Leces,Ribuan eks karyawan PT Kertas Leces menanti harapan baru setelah pergantian Menteri Keuangan. Mereka berharap penyelesaian adil atas tunggakan gaji & pesangon.,https://www.detik.com/jatim/berita/d-8151520/menkeu-purbaya-jadi-harapan-baru-eks-karyawan-pt-kertas-leces,"Rabu, 08 Okt 2025 20:15 WIB",2025
detik,Purbaya Klaim Sudah Kumpulkan Rp 7 T dari Pengemplang Pajak,Menteri Keuangan Purbaya Yudhi Sadewa mengklaim telah mengumpulkan hampir Rp 7 triliun dari pengemplang pajak.,https://finance.detik.com/berita-ekonomi-bisnis/d-8151116/purbaya-klaim-sudah-kumpulkan-rp-7-t-dari-pengemplang-pajak,"Rabu, 08 Okt 2025 16:03 WIB",2025
detik,Purbaya Ngaku Cukup Kerja dengan 2 Wamen: Irit Gaji Juga!,Menteri Keuangan Purbaya Yudhi Sadewa merasa cukup bekerja dengan dua Wakil Menteri setelah Anggito Abimanyu menjadi Bos LPS.,https://finance.detik.com/berita-ekonomi-bisnis/d-8151237/purbaya-ngaku-cukup-kerja-dengan-2-wamen-irit-gaji-juga,"Rabu, 08 Okt 2025 16:47 WIB",2025
detik,"Bank Dunia Sebut Pekerja Informal RI Meningkat, Ini Kata Purbaya",Menteri Keuangan Purbaya Yudhi Sadewa menanggapi laporan Bank Dunia (World Bank) yang menyoroti semakin banyaknya jumlah pekerja informal di Indonesia.,https://finance.detik.com/berita-ekonomi-bisnis/d-8151246/bank-dunia-sebut-pekerja-informal-ri-meningkat-ini-kata-purbaya,"Rabu, 08 Okt 2025 16:57 WIB",2025
detik,"Dasco Rapat Bareng Menkeu Purbaya, OJK hingga PPATK Bahas Program Strategis",Wakil Ketua DPR Dasco mengadakan rapat dengan Menteri Keuangan dan pejabat lainnya untuk membahas program strategis menjelang satu tahun pemerintahan baru.,https://news.detik.com/berita/d-8152692/dasco-rapat-bareng-menkeu-purbaya-ojk-hingga-ppatk-bahas-program-strategis,"Kamis, 09 Okt 2025 14:02 WIB",2025
